url,http_status,final_url,error,checked_at_utc
http://hdl.handle.net/10068/1007440,500,http://hdl.handle.net/10068/1007440,HTTPError: Internal Server Error,2026-07-15T03:25:43.679467+00:00
http://history.uaic.ro/wp-content/uploads/2023/08/Rezumat-EN-zavalisca.pdf,200,http://history.uaic.ro/wp-content/uploads/2023/08/Rezumat-EN-zavalisca.pdf,,2026-07-15T03:25:43.682867+00:00
https://biblio.ugent.be/publication/526116,200,https://biblio.ugent.be/publication/526116,,2026-07-15T03:25:43.683957+00:00
https://books.google.com/books/about/The_Ming_Maritime_Trade_Policy_in_Transi.html?id=srGEMarSWLYC,200,https://books.google.com/books/about/The_Ming_Maritime_Trade_Policy_in_Transi.html?id=srGEMarSWLYC,,2026-07-15T03:25:43.686756+00:00
https://books.google.com/books?id=RJ8uGmLb_RcC,200,https://books.google.com/books?id=RJ8uGmLb_RcC,,2026-07-15T03:25:43.688224+00:00
https://brill.com/view/journals/jaer/24/2-3/article-p160_160.xml,405,https://brill.com/view/journals/jaer/24/2-3/article-p160_160.xml,HTTPError: Not Allowed,2026-07-15T03:25:43.689399+00:00
https://cup.columbia.edu/book/korea-between-empires-1895-1919/9780231125383/,200,https://cup.columbia.edu/book/korea-between-empires-1895-1919/9780231125383/,,2026-07-15T03:25:43.691115+00:00
https://doi.org/10.1017/CBO9780511790676.003,200,https://www.cambridge.org/core/books/abs/politics-of-switzerland/neutrality/404ABF58BFCF304C254F215C0E4295CF,,2026-07-15T03:25:43.692327+00:00
https://doi.org/10.1017/s0008938900011237,200,https://www.cambridge.org/core/journals/central-european-history/article/abs/autarky-ideology-and-technological-lag-the-case-of-the-east-german-chemical-industry-19451964/BC37E6CA67D99CF9F3E70941A1CDCE17,,2026-07-15T03:25:43.856451+00:00
https://doi.org/10.1017/s002081830002717x,200,https://www.cambridge.org/core/journals/international-organization/article/abs/socialist-patrimonialism-and-the-global-economy-the-case-of-romania/C3265204C4F3FCA7F21977CB39CFDBA8,,2026-07-15T03:25:43.892872+00:00
https://doi.org/10.1017/s1740022822000262,200,https://www.cambridge.org/core/journals/journal-of-global-history/article/world-in-blocs-leo-amery-the-british-empire-and-regionalist-antiinternationalism-19031947/16BE59E099E28FAE20928F7E74089943,,2026-07-15T03:25:43.964509+00:00
https://doi.org/10.1080/15564894.2015.1105885,403,https://www.tandfonline.com/doi/full/10.1080/15564894.2015.1105885,HTTPError: Forbidden,2026-07-15T03:25:44.126836+00:00
https://doi.org/10.1093/acrefore/9780199329175.013.385,403,https://academic.oup.com/edited-volume/61644/chapter/539913835,HTTPError: Forbidden,2026-07-15T03:25:44.313318+00:00
https://doi.org/10.1111/aspp.70036,403,https://onlinelibrary.wiley.com/doi/10.1111/aspp.70036,HTTPError: Forbidden,2026-07-15T03:25:44.389366+00:00
https://doi.org/10.1162/jcws_a_00434,403,https://direct.mit.edu/jcws/article/16/1/146-179/13586,HTTPError: Forbidden,2026-07-15T03:25:44.442549+00:00
https://doi.org/10.1162/jcws_a_01169,403,https://direct.mit.edu/jcws/article/25/4/24/118959/The-Long-Misunderstanding-Cuba-s-Economic-Ties,HTTPError: Forbidden,2026-07-15T03:25:44.480877+00:00
https://doi.org/10.1163/18747167-bja10001,405,https://brill.com/view/journals/jps/13/1/article-p59_3.xml,HTTPError: Not Allowed,2026-07-15T03:25:44.530015+00:00
https://doi.org/10.13097/archive-ouverte/unige:166510,200,https://archive-ouverte.unige.ch/unige:166510,,2026-07-15T03:25:44.553773+00:00
https://doi.org/10.15804/siip201909,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1007)>,2026-07-15T03:25:44.557778+00:00
https://doi.org/10.16912/tkhr.2016.12.232.147,200,https://www.dbpia.co.kr:443/journal/articleDetail?nodeId=NODE07082030,,2026-07-15T03:25:44.743768+00:00
https://doi.org/10.21953/lse.00004720,200,https://researchonline.lse.ac.uk/id/eprint/135563/,,2026-07-15T03:25:44.770498+00:00
https://doi.org/10.2307/1866490,403,https://www.jstor.org/stable/10.2307/1866490?origin=crossref,HTTPError: Forbidden,2026-07-15T03:25:44.923956+00:00
https://doi.org/10.2307/1898008,403,https://academic.oup.com/jah/article-lookup/doi/10.2307/1898008,HTTPError: Forbidden,2026-07-15T03:25:44.996456+00:00
https://doi.org/10.23943/princeton/9780691182216.003.0006,200,https://chooser.crossref.org/?doi=10.23943%2Fprinceton%2F9780691182216.003.0006,,2026-07-15T03:25:45.081303+00:00
https://doi.org/10.3989/aem.1994.v24.977,,,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1007)>,2026-07-15T03:25:45.087089+00:00
