record_id,entity,period,Seshat Cliopatria,Maddison Project Database 2023,Clio-Infra,HYDE,V-Dem v16,Correlates of War Formal Alliances v4.1,Polity5
1,アケメネス朝ペルシア,BC550-BC330,1,0,0,1,0,0,0
2,アテネ（ペロポネソス戦争後）,BC404-BC338,1,0,0,1,0,0,0
3,スパルタ,BC800-BC146,1,0,0,1,0,0,0
4,カルタゴ,BC814-BC146,1,0,0,1,0,0,0
5,ローマ共和政〜帝政前期,BC509-AD200,1,1,0,1,0,0,0
6,ローマ帝政後期（西）,AD200-AD476,1,1,0,1,0,0,0
7,プトレマイオス朝エジプト,BC305-BC30,1,0,0,1,0,0,0
8,漢朝（前漢〜後漢）,BC206-AD220,1,1,0,1,0,0,0
9,ビザンツ帝国（前期）,AD330-AD1000,1,1,0,1,0,0,0
10,ビザンツ帝国（後期）,AD1000-AD1453,1,1,0,1,0,0,0
11,アッバース朝（前期）,AD750-AD1000,1,1,0,1,0,0,0
12,アッバース朝（後期）,AD1000-AD1258,1,1,0,1,0,0,0
13,宋朝中国,AD960-AD1279,1,1,0,1,0,0,0
14,モンゴル帝国,AD1206-AD1368,1,1,0,1,0,0,0
15,マムルーク朝エジプト,AD1250-AD1517,1,1,1,1,0,0,0
16,ヴェネツィア共和国,AD697-AD1797,1,1,1,1,1,0,0
17,ハンザ同盟,AD1200-AD1669,1,1,1,1,0,0,0
18,オスマン帝国（前期）,AD1300-AD1600,1,1,1,1,0,0,0
19,オスマン帝国（後期）,AD1600-AD1922,1,1,1,1,1,1,1
20,明朝中国,AD1368-AD1644,1,1,1,1,0,0,0
21,清朝中国（前期）,AD1644-AD1800,1,1,1,1,1,0,1
22,清朝中国（後期）,AD1800-AD1912,1,1,1,1,1,1,1
23,李朝朝鮮,AD1392-AD1897,1,1,1,1,1,1,1
24,徳川日本,AD1603-AD1868,1,1,1,1,1,1,1
25,ムガル帝国（後期）,AD1700-AD1857,1,1,1,1,1,1,1
26,サファヴィー朝ペルシア,AD1501-AD1736,1,1,1,1,0,0,0
27,インカ帝国,AD1438-AD1533,1,1,1,1,0,0,0
28,アステカ帝国,AD1428-AD1521,1,1,1,1,0,0,0
29,ポルトガル帝国,AD1415-AD1580,1,1,1,1,0,0,0
30,オランダ共和国,AD1581-AD1795,1,1,1,1,1,0,0
31,スペイン帝国,AD1492-AD1808,1,1,1,1,1,0,1
32,ムガル帝国（前期）,AD1526-AD1700,1,1,1,1,0,0,0
33,大英帝国,AD1815-AD1945,1,1,1,1,1,1,1
34,米国（モンロー主義期）,AD1823-AD1898,1,1,1,1,1,1,1
35,明治〜大正日本,AD1868-AD1930,1,1,1,1,1,1,1
36,エチオピア帝国,AD1855-AD1936,1,1,1,1,1,1,1
37,シャム（タイ）,AD1782-AD1932,1,1,1,1,1,1,1
38,スイス,AD1815-AD現在,1,1,1,1,1,1,1
39,1930s日本（大東亜共栄圏）,AD1930-AD1945,1,1,1,1,1,1,1
40,ナチスドイツ,AD1933-AD1945,1,1,1,1,1,1,1
41,ファシストイタリア,AD1922-AD1943,1,1,1,1,1,1,1
42,ソ連,AD1922-AD1991,1,1,1,1,1,1,1
43,東ドイツ,AD1949-AD1990,1,1,1,1,1,1,1
44,ユーゴスラビア,AD1945-AD1992,1,1,1,1,1,1,1
45,英国帝国特恵制度,AD1932-AD1960,1,1,1,1,1,1,1
46,米国（戦後〜冷戦期）,AD1945-AD1991,1,1,1,1,1,1,1
47,戦後日本（高度成長期）,AD1945-AD1990,1,1,1,1,1,1,1
48,シンガポール,AD1965-AD現在,1,1,1,1,1,1,1
49,韓国,AD1961-AD現在,1,1,1,1,1,1,1
50,北朝鮮,AD1948-AD現在,1,1,1,1,1,1,1
51,キューバ,AD1959-AD現在,1,1,1,1,1,1,1
52,現代日本,AD1990-AD現在,1,1,1,1,1,1,1
53,現代中国,AD1978-AD現在,1,1,1,1,1,1,1
54,現代ロシア,AD1991-AD現在,1,1,1,1,1,1,1
55,マケドニア王国（アレクサンドロス後）,BC323-BC168,1,0,0,1,0,0,0
56,セレウコス朝シリア,BC312-BC63,1,0,0,1,0,0,0
57,パルティア,BC247-AD224,1,1,0,1,0,0,0
58,ササン朝ペルシア,AD224-AD651,1,1,0,1,0,0,0
59,クシャーナ朝,AD30-AD375,1,1,0,1,0,0,0
60,グプタ朝インド,AD320-AD550,1,1,0,1,0,0,0
61,唐朝中国,AD618-AD907,1,1,0,1,0,0,0
62,ウマイヤ朝,AD661-AD750,1,1,0,1,0,0,0
63,高麗,AD918-AD1392,1,1,0,1,0,0,0
64,クメール帝国（アンコール）,AD802-AD1431,1,1,0,1,0,0,0
65,シュリーヴィジャヤ,AD650-AD1377,1,1,0,1,0,0,0
66,マジャパヒト王国,AD1293-AD1527,1,1,1,1,0,0,0
67,キエフ大公国,AD882-AD1240,1,1,0,1,0,0,0
68,ジェノヴァ共和国,AD1099-AD1797,1,1,1,1,1,0,0
69,マリ帝国,AD1235-AD1600,1,1,1,1,0,0,0
70,元朝中国,AD1271-AD1368,1,1,0,1,0,0,0
71,ティムール朝,AD1370-AD1507,1,1,1,1,0,0,0
72,琉球王国,AD1429-AD1879,1,1,1,1,1,1,1
73,ポーランド・リトアニア共和国,AD1569-AD1795,1,1,1,1,1,0,0
74,スウェーデン帝国,AD1611-AD1721,1,1,1,1,0,0,0
75,ロシア帝国（ピョートル後）,AD1721-AD1917,1,1,1,1,1,1,1
76,清朝中国（中期・交易拡大期）,AD1750-AD1830,1,1,1,1,1,1,1
77,ハワイ王国,AD1795-AD1893,1,1,1,1,1,1,1
78,ズールー王国,AD1816-AD1897,1,1,1,1,1,1,1
79,ビルマ（コンバウン朝）,AD1752-AD1885,1,1,1,1,1,1,1
80,オーストリア＝ハンガリー帝国,AD1867-AD1918,1,1,1,1,1,1,1
81,ベルギー,AD1830-AD現在,1,1,1,1,1,1,1
82,デンマーク,AD1849-AD現在,1,1,1,1,1,1,1
83,ナポレオン帝国,AD1804-AD1815,1,1,1,1,1,0,1
84,大韓帝国,AD1897-AD1910,1,1,1,1,1,1,1
85,満州国,AD1932-AD1945,1,1,1,1,1,1,1
86,南ベトナム,AD1955-AD1975,1,1,1,1,1,1,1
87,チェコスロバキア（共産期）,AD1948-AD1989,1,1,1,1,1,1,1
88,ポーランド（共産期）,AD1947-AD1989,1,1,1,1,1,1,1
89,ルーマニア（共産期）,AD1947-AD1989,1,1,1,1,1,1,1
90,台湾,AD1949-AD現在,1,1,1,1,1,1,1
